subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime ,Late,ShortDelay,LongDelay
s03,0.541666667,0.583333333,0.555555556,0.555555556,0.569444444,0.541666667,0.548611112,0.576388889,0.548611112,0.560185185,0.555555556
s04,0.75,0.791666667,0.805555556,0.777777778,0.777777778,0.777777778,0.763888889,0.784722223,0.791666667,0.782407408,0.777777778
s06,0.583333333,0.597222222,0.611111111,0.583333333,0.541666667,0.638888889,0.583333333,0.569444445,0.625,0.597222222,0.587962963
s07,0.736111111,0.777777778,0.708333333,0.763888889,0.736111111,0.805555556,0.75,0.756944445,0.756944445,0.740740741,0.768518519
s08,0.638888889,0.819444444,0.777777778,0.875,0.805555556,0.861111111,0.756944445,0.8125,0.819444445,0.74537037,0.847222222
s10,0.569444444,0.75,0.763888889,0.75,0.861111111,0.722222222,0.659722222,0.805555556,0.743055556,0.694444444,0.777777778
s12,0.736111111,0.75,0.833333333,0.791666667,0.791666667,0.722222222,0.763888889,0.770833334,0.777777778,0.773148148,0.768518519
s13,0.625,0.777777778,0.722222222,0.875,0.791666667,0.777777778,0.75,0.784722223,0.75,0.708333333,0.814814815
s14,0.75,0.722222222,0.666666667,0.638888889,0.680555556,0.611111111,0.694444445,0.701388889,0.638888889,0.712962963,0.643518519
s15,0.611111111,0.75,0.680555556,0.722222222,0.763888889,0.833333333,0.666666667,0.756944445,0.756944445,0.680555556,0.773148148
s16,0.833333333,0.805555556,0.847222222,0.861111111,0.875,0.916666667,0.847222222,0.840277778,0.881944445,0.828703704,0.884259259
s17,0.680555556,0.694444444,0.694444444,0.666666667,0.847222222,0.763888889,0.673611112,0.770833333,0.729166667,0.689814815,0.759259259
s18,0.611111111,0.638888889,0.75,0.763888889,0.583333333,0.666666667,0.6875,0.611111111,0.708333334,0.666666667,0.671296296
s19,0.666666667,0.625,0.666666667,0.736111111,0.805555556,0.763888889,0.701388889,0.715277778,0.715277778,0.652777778,0.768518519
s21,0.805555556,0.819444444,0.861111111,0.791666667,0.833333333,0.777777778,0.798611112,0.826388889,0.819444445,0.828703704,0.800925926
s22,0.763888889,0.805555556,0.847222222,0.805555556,0.847222222,0.861111111,0.784722223,0.826388889,0.854166667,0.805555556,0.837962963
s23,0.625,0.736111111,0.763888889,0.652777778,0.680555556,0.638888889,0.638888889,0.708333334,0.701388889,0.708333333,0.657407408
s25,0.569444444,0.694444444,0.597222222,0.75,0.736111111,0.75,0.659722222,0.715277778,0.673611111,0.62037037,0.74537037
s26,0.791666667,0.791666667,0.763888889,0.833333333,0.861111111,0.763888889,0.8125,0.826388889,0.763888889,0.782407408,0.819444444
