subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime ,Late,ShortDelay,LongDelay
s03,808.6232948,600.9595592,493.8084811,643.4158096,571.6675489,483.3333333,726.0195522,586.3135541,488.5709072,634.4637784,566.1388973
s04,620.2183323,610.115111,601.7350203,609.4206471,607.9135572,624.0894505,614.8194897,609.0143341,612.9122354,610.6894879,613.8078849
s06,658.2799042,584.4358382,582.6630238,614.5591415,612.962963,614.630792,636.4195229,598.6994006,598.6469079,608.4595887,614.0509655
s07,623.1773993,605.1448026,607.7187687,593.5134079,593.9437167,591.6667921,608.3454036,599.5442597,599.6927804,612.0136569,593.0413056
s08,669.2808642,593.7134305,583.3726048,601.064339,602.7781064,591.7686279,635.1726016,598.2457685,587.5706164,615.4556332,598.5370244
s10,725.3363905,611.2285081,601.5793235,614.1177422,603.1047441,600.6448687,669.7270664,607.1666261,601.1120961,646.048074,605.955785
s12,632.2828284,605.3590938,614.3512693,615.7352309,616.0481362,624.6450811,624.0090297,610.703615,619.4981752,617.3310638,618.8094827
s13,668.2039501,596.6917869,566.9899604,601.612919,602.6376977,605.9058855,634.9084346,599.6647423,586.447923,610.6285658,603.3855007
s14,611.9061017,613.7627107,601.5396899,599.7783239,598.2741325,587.2762796,605.8422128,606.0184216,594.4079848,609.0695008,595.1095787
s15,640.5473869,602.9367224,589.0116698,615.3828035,611.8949556,596.9183091,627.9650952,607.415839,592.9649895,610.8319264,608.0653561
s16,602.4274519,605.2131978,599.0211087,594.2245692,589.4458723,595.3310891,598.3260106,597.3295351,597.1760989,602.2205861,593.0005102
s17,603.3698914,568.8759991,578.6759741,595.8538367,601.1738832,587.9346314,599.6118641,585.0249412,583.3053028,583.6406215,594.9874504
s18,658.3333333,588.9704325,591.3555884,590.3144454,564.3640928,585.7529221,624.3238894,576.6672627,588.5542553,612.8864514,580.1438201
s19,629.2365483,583.9039258,596.2375053,600.4816839,604.9250121,600.1030563,614.8591161,594.414469,598.1702808,603.1259931,601.8365841
s21,603.5609454,593.7134305,590.669694,602.4519001,598.9952431,606.4583352,603.0064228,596.3543368,598.5640146,595.9813566,602.6351595
s22,616.0715508,594.5215785,602.1775544,610.1812166,599.6466281,595.7540546,613.1263837,597.0841033,598.9658045,604.2568946,601.8606331
