subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime ,Late,ShortDelay,LongDelay
s03,0.902777778,0.5,0.222222222,0.583333333,0.430555556,0.319444444,0.743055556,0.465277778,0.270833333,0.541666667,0.444444444
s04,0.666666667,0.569444444,0.5,0.583333333,0.583333333,0.666666667,0.625,0.576388889,0.583333334,0.578703704,0.611111111
s06,0.666666667,0.458333333,0.444444444,0.555555556,0.513888889,0.555555556,0.611111112,0.486111111,0.5,0.523148148,0.541666667
s07,0.652777778,0.527777778,0.569444444,0.430555556,0.430555556,0.416666667,0.541666667,0.479166667,0.493055556,0.583333333,0.425925926
s08,0.861111111,0.430555556,0.333333333,0.513888889,0.5,0.416666667,0.6875,0.465277778,0.375,0.541666667,0.476851852
s10,0.902777778,0.583333333,0.513888889,0.611111111,0.527777778,0.5,0.756944445,0.555555556,0.506944445,0.666666667,0.546296296
s12,0.736111111,0.555555556,0.638888889,0.652777778,0.652777778,0.694444444,0.694444445,0.604166667,0.666666667,0.643518519,0.666666667
s13,0.819444444,0.5,0.305555556,0.513888889,0.541666667,0.555555556,0.666666667,0.520833334,0.430555556,0.541666667,0.537037037
s14,0.583333333,0.583333333,0.527777778,0.5,0.486111111,0.444444444,0.541666667,0.534722222,0.486111111,0.564814815,0.476851852
s15,0.666666667,0.5,0.430555556,0.611111111,0.625,0.472222222,0.638888889,0.5625,0.451388889,0.532407408,0.569444444
s16,0.527777778,0.555555556,0.486111111,0.416666667,0.402777778,0.444444444,0.472222223,0.479166667,0.465277778,0.523148148,0.421296296
s17,0.513888889,0.305555556,0.361111111,0.472222222,0.513888889,0.375,0.493055556,0.409722223,0.368055556,0.393518519,0.453703704
s18,0.722222222,0.444444444,0.416666667,0.430555556,0.388888889,0.416666667,0.576388889,0.416666667,0.416666667,0.527777778,0.412037037
s19,0.694444444,0.430555556,0.472222222,0.486111111,0.555555556,0.513888889,0.590277778,0.493055556,0.493055556,0.532407407,0.518518519
s21,0.527777778,0.430555556,0.416666667,0.513888889,0.472222222,0.555555556,0.520833334,0.451388889,0.486111112,0.458333334,0.513888889
s22,0.652777778,0.444444444,0.513888889,0.611111111,0.486111111,0.444444444,0.631944445,0.465277778,0.479166667,0.537037037,0.513888889
s23,0.708333333,0.402777778,0.402777778,0.347222222,0.458333333,0.5,0.527777778,0.430555556,0.451388889,0.50462963,0.435185185
s25,0.763888889,0.583333333,0.541666667,0.611111111,0.513888889,0.611111111,0.6875,0.548611111,0.576388889,0.62962963,0.578703704
s26,0.680555556,0.486111111,0.458333333,0.611111111,0.5,0.486111111,0.645833334,0.493055556,0.472222222,0.541666667,0.532407407
s27,0.666666667,0.597222222,0.333333333,0.513888889,0.458333333,0.5,0.590277778,0.527777778,0.416666667,0.532407407,0.490740741
s28,0.611111111,0.361111111,0.347222222,0.319444444,0.444444444,0.388888889,0.465277778,0.402777778,0.368055556,0.439814815,0.384259259
s29,0.569444444,0.5,0.472222222,0.527777778,0.513888889,0.486111111,0.548611111,0.506944445,0.479166667,0.513888889,0.509259259
s30,0.611111111,0.430555556,0.402777778,0.458333333,0.458333333,0.444444444,0.534722222,0.444444445,0.423611111,0.481481482,0.453703703
s31,0.680555556,0.513888889,0.5,0.555555556,0.472222222,0.458333333,0.618055556,0.493055556,0.479166667,0.564814815,0.49537037
s32,0.680555556,0.569444444,0.486111111,0.611111111,0.555555556,0.555555556,0.645833334,0.5625,0.520833334,0.578703704,0.574074074
s34,0.625,0.638888889,0.638888889,0.513888889,0.472222222,0.472222222,0.569444445,0.555555556,0.555555556,0.634259259,0.486111111
s36,0.625,0.472222222,0.444444444,0.583333333,0.541666667,0.527777778,0.604166667,0.506944445,0.486111111,0.513888889,0.550925926
s37,0.541666667,0.486111111,0.513888889,0.444444444,0.472222222,0.5,0.493055556,0.479166667,0.506944445,0.513888889,0.472222222
s39,0.513888889,0.458333333,0.5,0.541666667,0.444444444,0.458333333,0.527777778,0.451388889,0.479166667,0.490740741,0.481481481
s40,0.652777778,0.388888889,0.291666667,0.541666667,0.513888889,0.555555556,0.597222223,0.451388889,0.423611112,0.444444445,0.537037037
s41,0.736111111,0.541666667,0.375,0.583333333,0.527777778,0.611111111,0.659722222,0.534722223,0.493055556,0.550925926,0.574074074
