subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,,X (Music training years),Y (Accuracy)
s03,0,0.541666667,0.583333333,0.555555556,0.555555556,0.569444444,0.541666667,0.557870371,0,55.7870371
s04,15,0.75,0.791666667,0.805555556,0.777777778,0.777777778,0.777777778,0.780092593,15,78.0092593
s06,0,0.583333333,0.597222222,0.611111111,0.583333333,0.541666667,0.638888889,0.592592593,0,59.2592593
s07,2,0.736111111,0.777777778,0.708333333,0.763888889,0.736111111,0.805555556,0.75462963,2,75.462963
s08,8,0.638888889,0.819444444,0.777777778,0.875,0.805555556,0.861111111,0.796296296,8,79.6296296
s10,22,0.569444444,0.75,0.763888889,0.75,0.861111111,0.722222222,0.736111111,22,73.6111111
s12,14,0.736111111,0.75,0.833333333,0.791666667,0.791666667,0.722222222,0.770833333,14,77.0833333
s13,12,0.625,0.777777778,0.722222222,0.875,0.791666667,0.777777778,0.761574074,12,76.1574074
s14,0,0.75,0.722222222,0.666666667,0.638888889,0.680555556,0.611111111,0.678240741,0,67.8240741
s15,14,0.611111111,0.75,0.680555556,0.722222222,0.763888889,0.833333333,0.726851852,14,72.6851852
s16,2,0.833333333,0.805555556,0.847222222,0.861111111,0.875,0.916666667,0.856481482,2,85.6481482
s17,0,0.680555556,0.694444444,0.694444444,0.666666667,0.847222222,0.763888889,0.724537037,0,72.4537037
s18,8,0.611111111,0.638888889,0.75,0.763888889,0.583333333,0.666666667,0.668981482,8,66.8981482
s19,0,0.666666667,0.625,0.666666667,0.736111111,0.805555556,0.763888889,0.710648148,0,71.0648148
s21,8,0.805555556,0.819444444,0.861111111,0.791666667,0.833333333,0.777777778,0.814814815,8,81.4814815
s22,3,0.763888889,0.805555556,0.847222222,0.805555556,0.847222222,0.861111111,0.821759259,3,82.1759259
s23,0,0.625,0.736111111,0.763888889,0.652777778,0.680555556,0.638888889,0.682870371,0,68.2870371
s25,4,0.569444444,0.694444444,0.597222222,0.75,0.736111111,0.75,0.68287037,4,68.287037
s26,10,0.791666667,0.791666667,0.763888889,0.833333333,0.861111111,0.763888889,0.800925926,10,80.0925926
s27,11,0.722222222,0.652777778,0.722222222,0.819444444,0.736111111,0.861111111,0.752314815,11,75.2314815
s28,0,0.777777778,0.805555556,0.763888889,0.680555556,0.777777778,0.777777778,0.763888889,0,76.3888889
s29,3,0.597222222,0.694444444,0.694444444,0.75,0.819444444,0.652777778,0.701388889,3,70.1388889
s30,7,0.777777778,0.875,0.847222222,0.847222222,0.763888889,0.833333333,0.824074074,7,82.4074074
s31,5,0.763888889,0.736111111,0.888888889,0.888888889,0.861111111,0.875,0.835648148,5,83.5648148
s32,6,0.763888889,0.819444444,0.819444444,0.777777778,0.638888889,0.833333333,0.775462963,6,77.5462963
s34,0,0.736111111,0.777777778,0.777777778,0.763888889,0.805555556,0.777777778,0.773148148,0,77.3148148
s36,12,0.763888889,0.888888889,0.861111111,0.861111111,0.902777778,0.888888889,0.861111111,12,86.1111111
s37,24,0.902777778,0.958333333,0.930555556,0.888888889,0.916666667,0.916666667,0.918981482,24,91.8981482
s39,2,0.708333333,0.680555556,0.638888889,0.652777778,0.638888889,0.625,0.657407408,2,65.7407408
s40,2,0.736111111,0.722222222,0.652777778,0.791666667,0.847222222,0.777777778,0.75462963,2,75.462963
s41,4,0.680555556,0.708333333,0.736111111,0.805555556,0.722222222,0.805555556,0.743055556,4,74.3055556
s47,9,0.777777778,0.847222222,0.805555556,0.777777778,0.75,0.833333333,0.798611111,9,79.8611111
s48,13,0.541666667,0.638888889,0.694444444,0.75,0.708333333,0.625,0.659722222,13,65.9722222
s49,2,0.597222222,0.736111111,0.666666667,0.75,0.777777778,0.805555556,0.722222222,2,72.2222222
s50,5,0.652777778,0.652777778,0.722222222,0.680555556,0.75,0.736111111,0.699074074,5,69.9074074
s51,11,0.875,0.944444444,0.861111111,0.888888889,0.902777778,0.958333333,0.905092593,11,90.5092593
s52,13,0.625,0.680555556,0.722222222,0.513888889,0.708333333,0.527777778,0.62962963,13,62.962963
s53,1,0.763888889,0.847222222,0.861111111,0.75,0.75,0.722222222,0.782407407,1,78.2407407
s54,7,0.708333333,0.680555556,0.708333333,0.805555556,0.791666667,0.819444444,0.752314815,7,75.2314815
s55,14,0.791666667,0.861111111,0.819444444,0.819444444,0.888888889,0.888888889,0.844907407,14,84.4907407
s56,8,0.638888889,0.652777778,0.652777778,0.611111111,0.75,0.666666667,0.662037037,8,66.2037037
s57,3,0.666666667,0.847222222,0.777777778,0.763888889,0.833333333,0.805555556,0.782407408,3,78.2407408
s58,0,0.736111111,0.763888889,0.680555556,0.75,0.805555556,0.75,0.747685185,0,74.7685185
s59,0,0.694444444,0.763888889,0.736111111,0.791666667,0.833333333,0.652777778,0.74537037,0,74.537037
s60,22,0.763888889,0.75,0.805555556,0.875,0.819444444,0.888888889,0.81712963,22,81.712963
s61,2,0.722222222,0.75,0.722222222,0.736111111,0.736111111,0.722222222,0.731481481,2,73.1481481
s62,24,0.791666667,0.805555556,0.833333333,0.930555556,0.944444444,0.875,0.863425926,24,86.3425926
s63,0,0.611111111,0.583333333,0.625,0.527777778,0.708333333,0.75,0.634259259,0,63.4259259
