subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime,Late ,ShortDelay,MediumDelay,LongDelay
s01,0.555555556,0.597222222,0.569444444,0.638888889,0.527777778,0.694444444,0.541666667,0.638888889,0.625,0.578703704,0.587962963,0.62962963,0.574074074,0.62037037,0.601851852
s02,0.75,0.875,0.847222222,0.916666667,0.861111111,0.875,0.902777778,0.944444444,0.861111111,0.856481481,0.893518519,0.861111111,0.824074074,0.884259259,0.902777778
s03,0.541666667,0.75,0.75,0.736111111,0.819444444,0.861111111,0.875,0.888888889,0.916666667,0.717592593,0.819444444,0.842592593,0.680555556,0.805555556,0.893518519
s04,0.569444444,0.513888889,0.722222222,0.736111111,0.777777778,0.708333333,0.805555556,0.722222222,0.763888889,0.703703704,0.671296296,0.731481481,0.601851852,0.740740741,0.763888889
s05,0.541666667,0.708333333,0.847222222,0.805555556,0.833333333,0.847222222,0.888888889,0.861111111,0.902777778,0.74537037,0.800925926,0.865740741,0.699074074,0.828703704,0.884259259
s06,0.680555556,0.722222222,0.722222222,0.805555556,0.833333333,0.777777778,0.875,0.805555556,0.930555556,0.787037037,0.787037037,0.810185185,0.708333333,0.805555556,0.87037037
s07,0.583333333,0.666666667,0.666666667,0.805555556,0.791666667,0.805555556,0.805555556,0.777777778,0.666666667,0.731481481,0.74537037,0.712962963,0.638888889,0.800925926,0.75
s08,0.597222222,0.694444444,0.694444444,0.763888889,0.819444444,0.777777778,0.805555556,0.75,0.75,0.722222222,0.75462963,0.740740741,0.662037037,0.787037037,0.768518519
s09,0.541666667,0.569444444,0.555555556,0.680555556,0.680555556,0.708333333,0.75,0.805555556,0.722222222,0.657407407,0.685185185,0.662037037,0.555555556,0.689814815,0.759259259
s10,0.527777778,0.708333333,0.569444444,0.625,0.777777778,0.652777778,0.722222222,0.75,0.75,0.625,0.74537037,0.657407407,0.601851852,0.685185185,0.740740741
s11,0.611111111,0.597222222,0.680555556,0.722222222,0.75,0.763888889,0.763888889,0.805555556,0.833333333,0.699074074,0.717592593,0.759259259,0.62962963,0.74537037,0.800925926
s12,0.638888889,0.736111111,0.625,0.694444444,0.694444444,0.75,0.763888889,0.708333333,0.666666667,0.699074074,0.712962963,0.680555556,0.666666667,0.712962963,0.712962963
s13,0.611111111,0.680555556,0.722222222,0.763888889,0.791666667,0.875,0.791666667,0.833333333,0.833333333,0.722222222,0.768518519,0.810185185,0.671296296,0.810185185,0.819444444
s14,0.763888889,0.791666667,0.847222222,0.763888889,0.847222222,0.819444444,0.791666667,0.819444444,0.847222222,0.773148148,0.819444444,0.837962963,0.800925926,0.810185185,0.819444444
s15,0.569444444,0.694444444,0.722222222,0.819444444,0.861111111,0.791666667,0.777777778,0.763888889,0.847222222,0.722222222,0.773148148,0.787037037,0.662037037,0.824074074,0.796296296
s16,0.680555556,0.819444444,0.875,0.833333333,0.833333333,0.819444444,0.861111111,0.888888889,0.944444444,0.791666667,0.847222222,0.87962963,0.791666667,0.828703704,0.898148148
s17,0.569444444,0.736111111,0.777777778,0.722222222,0.791666667,0.763888889,0.861111111,0.763888889,0.819444444,0.717592593,0.763888889,0.787037037,0.694444444,0.759259259,0.814814815
