participant_id,mydata2,context,delay,Onset,Length,mydata7,mydata8,mydata9,nresponse_value
s01,1,6,2,5,3,100,1.500753365,9,1
s02,1,6,2,9,5,200,0.721175355,13,0
s03,1,6,2,9,5,200,2.733473769,13,0
s04,1,6,2,5,6,100,3.174540627,9,1
s05,1,6,2,5,6,100,2.221544932,9,1
s06,1,6,2,9,4,200,0.456543252,13,0
s07,1,6,2,5,3,100,1.122509892,13,1
s08,1,6,2,9,3,200,1.295072197,9,0
s09,1,6,2,9,4,200,1.264607259,9,0
s10,1,6,2,5,5,200,0.973065286,9,0
s11,1,6,2,9,2,100,0.281528329,13,1
s12,1,6,2,9,5,200,4.648690712,9,0
s13,1,6,2,5,5,100,1.804392997,9,1
s14,1,6,2,9,5,200,0.92801111,13,0
s15,1,6,2,8,2,200,6.187129543,13,0
s16,1,6,2,8,6,200,1.156093875,13,0
s17,1,6,2,9,6,100,1.538624402,9,1
s18,1,6,2,9,2,200,1.076402634,13,0
s19,1,6,2,8,6,100,3.392288466,13,1
s20,1,6,2,8,3,100,0.694915552,13,1
s21,1,6,2,8,5,200,1.373026306,9,0
s22,1,6,2,9,3,200,0.829282958,9,0
s23,1,6,2,9,5,200,2.405996428,9,0
s24,1,6,2,9,6,200,3.827975391,9,0
s25,1,6,2,8,3,200,1.785246415,13,0
s26,1,6,2,8,5,200,1.004881718,13,0
s27,1,6,2,9,4,200,2.381511253,13,0
s28,1,6,2,8,6,200,1.38270522,13,0
s29,1,6,2,9,3,100,0.33795921,9,1
s30,1,6,2,5,4,100,7.561401809,9,1
s31,1,6,2,9,4,200,1.618897694,9,0
s32,1,6,2,8,6,200,1.505821842,9,0
s33,1,6,2,9,1,100,0.998686652,13,1
s34,1,6,2,8,2,100,0.513747697,13,1
s35,1,6,2,9,5,200,0.382331879,9,0
s36,1,6,2,9,5,100,2.066347358,13,1
s37,1,6,2,5,6,100,0.74209807,9,1
s38,1,6,2,5,5,100,1.089675614,9,1
s39,1,6,2,9,5,100,0.296833084,9,1
s40,1,6,2,9,2,100,2.577275842,9,1
s41,1,6,2,8,6,100,4.242941282,9,1
s42,1,6,2,9,2,100,0.462656606,9,1
s43,1,6,2,9,3,200,1.493814169,9,0
s44,1,6,2,8,1,100,0.623634965,13,1
s45,1,6,2,5,5,200,3.239593272,9,0
s46,1,6,2,8,4,100,2.028754643,13,1
s47,1,6,2,9,6,200,1.852015838,9,0
s48,1,6,2,5,3,100,0.102902681,13,1
s01,2,6,2,5,1,100,1.374188743,9,1
s02,2,6,2,9,3,100,0.927607754,9,1
s03,2,6,2,5,6,100,4.425391619,9,1
s04,2,6,2,9,2,100,0.463113911,9,1
s05,2,6,2,8,4,100,0.209898798,9,1
s06,2,6,2,9,2,100,0.229805178,9,1
s07,2,6,2,5,1,100,1.731264632,13,1
s08,2,6,2,9,4,100,1.353346423,13,1
s09,2,6,2,8,4,200,0.21177536,9,0
s10,2,6,2,5,3,200,1.803500826,9,0
s11,2,6,2,9,5,200,1.4006652,9,0
s12,2,6,2,9,6,100,0.330687511,13,1
s13,2,6,2,5,3,100,1.451417783,9,1
s14,2,6,2,9,5,200,1.378228527,13,0
s15,2,6,2,5,2,100,1.052959829,9,1
s16,2,6,2,5,3,100,0.378207704,9,1
s17,2,6,2,9,6,100,1.797928652,9,1
s18,2,6,2,5,1,100,0.646207998,9,1
s19,2,6,2,9,4,200,2.646123671,9,0
s20,2,6,2,5,6,100,2.622611055,13,1
s21,2,6,2,8,4,200,1.912325821,9,0
s22,2,6,2,5,6,100,1.137244292,13,1
s23,2,6,2,9,5,200,0.767094408,9,0
s24,2,6,2,8,1,100,0.147204176,13,1
s25,2,6,2,9,5,200,1.252379577,13,0
s26,2,6,2,8,1,100,0.537954655,9,1
s27,2,6,2,8,6,100,2.820602426,9,1
s28,2,6,2,8,1,100,0.553324898,9,1
s29,2,6,2,9,4,100,0.069641283,9,1
s30,2,6,2,5,3,100,0.55684617,9,1
s31,2,6,2,9,2,100,2.029967804,13,1
s32,2,6,2,9,2,200,2.391214988,9,0
s33,2,6,2,9,6,200,0.596997426,9,0
s34,2,6,2,5,6,100,0.939861656,13,1
s35,2,6,2,5,6,200,0.273050671,9,0
s36,2,6,2,9,1,100,0.221044611,13,1
s37,2,6,2,5,4,100,1.357566776,9,1
s38,2,6,2,5,6,200,0.927908015,13,0
s39,2,6,2,5,6,100,0.223773033,9,1
s40,2,6,2,8,2,100,1.22646383,9,1
s41,2,6,2,8,4,100,2.539064226,9,1
s42,2,6,2,5,1,100,0.312853886,9,1
s43,2,6,2,5,6,200,0.543257794,9,0
s44,2,6,2,5,5,100,0.633691698,13,1
s45,2,6,2,5,5,100,0.633454993,13,1
s46,2,6,2,8,6,100,2.618634272,13,1
s47,2,6,2,8,3,200,1.954033196,9,0
s48,2,6,2,5,1,100,3.441618285,13,1
s01,3,6,2,8,1,100,1.347271077,9,1
s02,3,6,2,5,4,100,0.425412662,9,1
s03,3,6,2,8,5,200,0.714027712,13,0
s04,3,6,2,8,5,100,2.599369101,9,1
s05,3,6,2,8,2,100,0.542101168,9,1
s06,3,6,2,5,3,100,0.488353875,9,1
s07,3,6,2,8,1,200,1.165918315,9,0
s08,3,6,2,9,3,100,0.471572256,13,1
s09,3,6,2,8,6,200,0.458262256,9,0
s10,3,6,2,8,3,200,2.002347223,9,0
s11,3,6,2,5,5,100,0.101553027,13,1
s12,3,6,2,9,6,200,0.101767251,9,0
s13,3,6,2,8,3,200,0.749909619,13,0
s14,3,6,2,8,1,100,0.355745906,9,1
s15,3,6,2,9,1,100,0.545072469,9,1
s16,3,6,2,5,1,100,0.272193911,9,1
s17,3,6,2,5,2,100,0.282011714,9,1
