subject,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay,Early ,Ontime,Late ,ShortDelay,MediumDelay,LongDelay
s01,0.805555556,0.513888889,0.152777778,0.555555556,0.472222222,0.416666667,0.513888889,0.472222222,0.486111111,0.625,0.486111111,0.351851852,0.490740741,0.481481481,0.490740741
s02,0.75,0.513888889,0.458333333,0.472222222,0.555555556,0.513888889,0.513888889,0.472222222,0.527777778,0.578703704,0.513888889,0.5,0.574074074,0.513888889,0.50462963
s03,0.902777778,0.416666667,0.333333333,0.569444444,0.486111111,0.444444444,0.513888889,0.5,0.527777778,0.662037037,0.467592593,0.435185185,0.550925926,0.5,0.513888889
s04,0.736111111,0.486111111,0.416666667,0.569444444,0.444444444,0.486111111,0.444444444,0.555555556,0.569444444,0.583333333,0.49537037,0.490740741,0.546296296,0.5,0.523148148
s05,0.819444444,0.388888889,0.194444444,0.347222222,0.319444444,0.333333333,0.430555556,0.402777778,0.402777778,0.532407407,0.37037037,0.310185185,0.467592593,0.333333333,0.412037037
s06,0.819444444,0.361111111,0.277777778,0.555555556,0.5,0.388888889,0.458333333,0.444444444,0.458333333,0.611111111,0.435185185,0.375,0.486111111,0.481481481,0.453703704
s07,0.861111111,0.166666667,0.388888889,0.472222222,0.430555556,0.388888889,0.5,0.416666667,0.416666667,0.611111111,0.337962963,0.398148148,0.472222222,0.430555556,0.444444444
s08,0.902777778,0.444444444,0.305555556,0.625,0.513888889,0.5,0.472222222,0.416666667,0.527777778,0.666666667,0.458333333,0.444444444,0.550925926,0.546296296,0.472222222
s09,0.805555556,0.569444444,0.361111111,0.569444444,0.569444444,0.527777778,0.625,0.625,0.597222222,0.666666667,0.587962963,0.49537037,0.578703704,0.555555556,0.615740741
s10,0.777777778,0.402777778,0.208333333,0.430555556,0.361111111,0.319444444,0.527777778,0.5,0.416666667,0.578703704,0.421296296,0.314814815,0.462962963,0.37037037,0.481481481
s11,0.777777778,0.222222222,0.347222222,0.569444444,0.5,0.486111111,0.472222222,0.444444444,0.402777778,0.606481481,0.388888889,0.412037037,0.449074074,0.518518519,0.439814815
s12,0.638888889,0.375,0.458333333,0.388888889,0.25,0.388888889,0.347222222,0.375,0.416666667,0.458333333,0.333333333,0.421296296,0.490740741,0.342592593,0.37962963
