subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay
s01,0,0.555555556,0.597222222,0.569444444,0.638888889,0.527777778,0.694444444,0.541666667,0.638888889,0.625
s02,7,0.75,0.875,0.847222222,0.916666667,0.861111111,0.875,0.902777778,0.944444444,0.861111111
s03,14,0.541666667,0.75,0.75,0.736111111,0.819444444,0.861111111,0.875,0.888888889,0.916666667
s04,9,0.569444444,0.513888889,0.722222222,0.736111111,0.777777778,0.708333333,0.805555556,0.722222222,0.763888889
s05,3,0.597222222,0.666666667,0.694444444,0.819444444,0.791666667,0.75,0.930555556,0.875,0.847222222
s06,5,0.680555556,0.722222222,0.722222222,0.805555556,0.833333333,0.777777778,0.875,0.805555556,0.930555556
s07,0,0.583333333,0.666666667,0.666666667,0.805555556,0.791666667,0.805555556,0.805555556,0.777777778,0.666666667
s08,8,0.597222222,0.694444444,0.694444444,0.763888889,0.819444444,0.777777778,0.805555556,0.75,0.75
s09,15,0.5,0.652777778,0.722222222,0.763888889,0.736111111,0.805555556,0.819444444,0.791666667,0.791666667
s10,0,0.527777778,0.708333333,0.569444444,0.625,0.777777778,0.652777778,0.722222222,0.75,0.75
s11,6,0.583333333,0.583333333,0.680555556,0.625,0.694444444,0.652777778,0.722222222,0.722222222,0.763888889
s12,2,0.638888889,0.736111111,0.625,0.694444444,0.694444444,0.75,0.763888889,0.708333333,0.666666667
s13,0,0.611111111,0.680555556,0.722222222,0.763888889,0.791666667,0.875,0.791666667,0.833333333,0.833333333
s14,6,0.763888889,0.791666667,0.847222222,0.763888889,0.847222222,0.819444444,0.791666667,0.819444444,0.847222222
s15,18,0.569444444,0.694444444,0.722222222,0.819444444,0.861111111,0.791666667,0.777777778,0.763888889,0.847222222
s16,25,0.680555556,0.819444444,0.875,0.833333333,0.833333333,0.819444444,0.861111111,0.888888889,0.944444444
s17,15,0.666666667,0.611111111,0.680555556,0.777777778,0.75,0.722222222,0.708333333,0.861111111,0.833333333
s18,0,0.583333333,0.708333333,0.611111111,0.763888889,0.75,0.819444444,0.722222222,0.722222222,0.736111111
s19,5,0.597222222,0.583333333,0.638888889,0.847222222,0.833333333,0.736111111,0.694444444,0.777777778,0.694444444
s20,8,0.555555556,0.638888889,0.777777778,0.875,0.875,0.819444444,0.819444444,0.805555556,0.763888889
s21,14,0.555555556,0.680555556,0.722222222,0.555555556,0.666666667,0.611111111,0.763888889,0.666666667,0.736111111
s22,12,0.541666667,0.638888889,0.555555556,0.791666667,0.777777778,0.777777778,0.847222222,0.861111111,0.833333333
s23,19,0.638888889,0.722222222,0.597222222,0.75,0.708333333,0.638888889,0.694444444,0.791666667,0.791666667
s24,12,0.625,0.638888889,0.625,0.722222222,0.597222222,0.694444444,0.694444444,0.680555556,0.680555556
s25,0,0.625,0.777777778,0.666666667,0.847222222,0.944444444,0.833333333,0.805555556,0.847222222,0.791666667
s26,15,0.694444444,0.861111111,0.819444444,0.902777778,0.888888889,0.902777778,0.875,0.888888889,0.875
s27,6,0.611111111,0.652777778,0.597222222,0.652777778,0.736111111,0.694444444,0.708333333,0.680555556,0.666666667
s28,0,0.680555556,0.777777778,0.861111111,0.763888889,0.791666667,0.736111111,0.875,0.819444444,0.805555556
s29,9,0.625,0.708333333,0.611111111,0.75,0.666666667,0.805555556,0.777777778,0.847222222,0.791666667
s30,5,0.638888889,0.763888889,0.805555556,0.875,0.861111111,0.833333333,0.861111111,0.902777778,0.930555556
s31,8,0.666666667,0.75,0.736111111,0.819444444,0.861111111,0.833333333,0.930555556,0.916666667,0.944444444
s32,17,0.638888889,0.777777778,0.652777778,0.847222222,0.847222222,0.833333333,0.763888889,0.75,0.638888889
s33,28,0.611111111,0.833333333,0.652777778,0.819444444,0.819444444,0.888888889,0.875,0.861111111,0.847222222
s34,8,0.666666667,0.75,0.819444444,0.888888889,0.875,0.805555556,0.944444444,0.888888889,0.916666667
s35,1,0.555555556,0.652777778,0.666666667,0.777777778,0.75,0.805555556,0.75,0.833333333,0.902777778
s36,11,0.652777778,0.777777778,0.694444444,0.930555556,0.875,0.875,0.902777778,0.875,0.888888889
s37,2,0.625,0.638888889,0.666666667,0.791666667,0.777777778,0.763888889,0.708333333,0.680555556,0.777777778
s38,14,0.694444444,0.819444444,0.763888889,0.805555556,0.777777778,0.805555556,0.805555556,0.75,0.805555556
s39,15,0.652777778,0.833333333,0.916666667,0.819444444,0.902777778,0.902777778,0.847222222,0.902777778,0.930555556
s40,7,0.597222222,0.638888889,0.597222222,0.75,0.777777778,0.722222222,0.736111111,0.819444444,0.777777778
s41,18,0.527777778,0.819444444,0.777777778,0.861111111,0.930555556,0.861111111,0.930555556,0.861111111,0.958333333
