subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay
s01,0,351.5069134,302.4969958,257.4822483,308.3221931,293.6732576,293.0063472,301.5842201,297.5653874,297.6758503
s02,7,317.1187639,300.2443643,297.1633166,298.6776169,303.1942263,300.5464304,300.4935288,298.4633147,300.7796291
s03,14,534.8352125,295.0881918,288.6660238,305.0461509,299.0715204,297.0145175,301.2149094,299.7739208,301.3557881
s04,9,326.4018637,296.9892868,294.1633585,305.6053618,296.8588167,298.5868002,298.1699416,305.5583674,305.8061601
s05,3,343.4056666,291.0097897,274.9589321,291.5883045,290.4408964,292.0172742,297.0069953,295.8251255,295.0737784
s06,5,323.2176403,290.0292966,283.785539,303.8205034,300.5140671,293.7958758,297.3958196,296.7066224,297.7991848
s07,0,350.0460583,270.820156,293.3183559,298.854758,296.1932436,291.7664455,300.5544522,295.48989,292.5189598
s08,8,358.689374,295.6899167,286.956727,309.492899,301.0742016,300.5673696,299.2797503,296.2535455,302.9777437
s09,15,383.8040875,305.4685608,289.4227145,303.41942,303.7656816,302.2111957,306.0211373,309.1539952,306.1573692
s10,0,433.2088974,291.1304768,232.9894302,292.5117251,290.7827356,283.0236171,303.0324849,300.3420161,295.14459
s11,6,353.931835,255.6163097,287.5952764,308.1890594,300.5567637,298.6037685,299.4455553,297.9096602,295.5063802
s12,2,313.2046374,291.2232975,294.8635334,292.3567658,281.8136314,292.6038575,291.1132674,289.7802768,292.5766877
s13,0,340.1790298,300.0636633,285.2465936,294.0525222,303.4904295,298.7513502,296.7959599,298.6459975,302.502655
s14,6,307.0938089,300.9214801,299.5184369,300.6185463,302.2586075,299.0220671,298.0626662,298.3465375,300.5027998
s15,18,359.6667245,308.2971329,289.3026857,302.2346295,294.4829967,298.995396,294.7821001,294.0011969,297.9528859
s16,25,323.9992513,296.8567152,295.3257463,300.4554737,296.8590782,289.8665761,294.8270496,295.2728165,297.4593076
s17,15,318.9667076,290.7710723,288.5560028,299.6115013,305.7492223,308.8055533,303.8477879,301.0491454,305.2269742
s18,0,357.2515286,293.6499695,266.0921765,303.272925,305.314458,296.564279,297.4177564,293.7953397,296.6061219
s19,5,311.0714687,278.0030079,277.8244133,303.3017736,292.8253187,301.2561433,302.5418126,301.5107333,304.8428612
s20,8,358.3333333,278.4835434,288.2055682,298.3518521,302.1558958,297.5067651,304.9360068,297.9832653,296.3885148
s21,14,345.7379442,302.3635249,294.2505932,308.0089581,300.4960372,287.9414571,307.9209215,310.2672668,299.9434906
s22,12,384.191513,293.9782857,245.1499478,299.2460172,304.7103236,299.2100401,301.1022852,298.7524686,299.5688946
s23,19,307.3952904,288.1491894,260.7941147,290.8996115,294.2328449,287.3098444,299.6473408,294.3277412,298.2256825
s24,12,340.840609,282.675709,279.911097,306.0056261,312.2137159,298.1827785,300.9736658,295.620243,297.9715442
s25,0,340.1553064,297.6350986,271.2854907,304.3288067,298.6114345,298.1862999,290.2202572,294.2964315,292.8863414
s26,15,313.8732248,294.2023492,295.6293904,300.6433817,298.8103109,299.6091038,297.3241832,296.3979765,295.385869
s27,6,334.5211797,281.5476115,254.3512967,303.8292737,298.973421,297.6239019,293.1627347,290.4878206,290.763059
s28,0,317.2032395,294.7016562,295.3135071,286.480503,290.5025581,286.1874661,298.4792372,295.4682993,289.9117582
s29,9,340.3459191,301.9958248,270.0350112,308.1891686,298.1187527,299.2275532,304.7720853,304.7974526,297.375442
s30,5,336.2611607,300.3678273,293.6585912,303.7916774,301.2768365,303.9708336,301.1407771,299.0482835,298.0727587
s31,8,325.4569462,312.0416621,309.6948999,306.2054419,304.821198,299.0145408,299.2887298,304.8544651,300
s32,17,346.0170028,304.3419297,302.3096224,303.2466053,302.8366834,300,300.988795,303.1995554,306.9045978
s33,28,334.7919447,300,286.9258627,303.2147861,298.3465375,299.1443913,300.9426393,298.9784631,300.0520856
s34,8,328.0692316,299.5078687,290.6760339,300.2204012,298.3078086,296.4831008,298.4254675,300.2204012,296.0911517
s35,1,362.3584858,301.3560281,293.2106469,299.8039737,300.8796899,298.375735,304.5021577,303.1594536,299.1928259
s36,11,329.420772,298.4892667,284.7149319,302.1473744,295.8251255,297.2212281,296.8592541,295.0219858,295.2583731
s37,2,344.256009,263.2328462,275.4598776,298.158188,291.3095257,292.0979965,293.6338651,289.3072292,291.3640413
s38,14,318.4664811,294.590651,289.8405152,292.0332387,288.3247512,289.7659941,289.6382327,292.6510721,291.6122859
s39,15,328.4203125,301.8391038,298.7634552,306.0197069,302.5376314,299.2738525,303.4909001,302.7733138,300.6027819
s40,7,365.1192188,281.1223402,241.8389608,288.1946467,294.3436392,286.4438231,288.5007675,292.0903022,292.9217407
s41,18,446.9432711,301.4059537,289.732866,296.7521967,297.0069953,296.7521967,299.417767,300.27428,300.8065241
s42,9,334.7383175,303.2491205,297.9832653,306.5706629,306.3904689,302.3066221,301.5366853,303.8760526,304.5728938
s43,2,313.3969822,296.43351,289.7689945,297.7827201,295.1087006,295.929724,298.0249752,295.7258509,296.2483181
s44,28,347.7590979,300,300.7396041,306.8088652,306.1825187,307.2577826,302.4788135,300.582233,301.7211261
s45,0,441.2437375,301.1463619,268.3328078,300.7928578,303.1060662,299.2799096,299.1984916,302.8366834,299.0391454
s46,30,429.7788028,302.8024903,290.9437398,305.7411776,302.1484412,303.5832445,303.235613,299.7084923,301.4233858
s47,11,304.0588037,267.9396284,291.3148352,305.9553384,299.0257618,292.2906194,305.1533367,302.7803686,304.5717473
s48,5,347.0897094,297.755581,293.0135133,298.490125,298.1404135,299.0532081,301.9390389,297.6754966,299.5064712
