subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Mediumdelay,Ontime.Mediumdelay,Late.Mediumdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay
s01,0,0.805555556,0.513888889,0.152777778,0.555555556,0.472222222,0.416666667,0.513888889,0.472222222,0.486111111
s02,7,0.75,0.513888889,0.458333333,0.472222222,0.555555556,0.513888889,0.513888889,0.472222222,0.527777778
s03,14,0.902777778,0.416666667,0.333333333,0.569444444,0.486111111,0.444444444,0.513888889,0.5,0.527777778
s04,9,0.736111111,0.486111111,0.416666667,0.569444444,0.444444444,0.486111111,0.444444444,0.555555556,0.569444444
s05,3,0.819444444,0.388888889,0.194444444,0.347222222,0.319444444,0.333333333,0.430555556,0.402777778,0.402777778
s06,5,0.819444444,0.361111111,0.277777778,0.555555556,0.5,0.388888889,0.458333333,0.444444444,0.458333333
s07,0,0.861111111,0.166666667,0.388888889,0.472222222,0.430555556,0.388888889,0.5,0.416666667,0.416666667
s08,8,0.902777778,0.444444444,0.305555556,0.625,0.513888889,0.5,0.472222222,0.416666667,0.527777778
s09,15,0.805555556,0.569444444,0.361111111,0.569444444,0.569444444,0.527777778,0.625,0.625,0.597222222
s10,0,0.777777778,0.402777778,0.208333333,0.430555556,0.361111111,0.319444444,0.527777778,0.5,0.416666667
s11,6,0.777777778,0.222222222,0.347222222,0.569444444,0.5,0.486111111,0.472222222,0.444444444,0.402777778
s12,2,0.638888889,0.375,0.458333333,0.388888889,0.25,0.388888889,0.347222222,0.375,0.416666667
s13,0,0.833333333,0.513888889,0.277777778,0.375,0.541666667,0.486111111,0.430555556,0.472222222,0.555555556
s14,6,0.597222222,0.513888889,0.486111111,0.513888889,0.541666667,0.486111111,0.458333333,0.458333333,0.513888889
s15,18,0.875,0.638888889,0.305555556,0.541666667,0.416666667,0.458333333,0.388888889,0.402777778,0.458333333
s16,25,0.791666667,0.430555556,0.402777778,0.5,0.444444444,0.319444444,0.388888889,0.416666667,0.444444444
