branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,click,survey_noise,4071,[],choice-response,2,620ec2cd3f3e26074333ad10,logistics_noise,5864,1,logisticsQuestionnaire
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,click,survey_headphone1,3899,[],choice-response,Yes,620ec2cd3f3e26074333ad10,logistic_headphone1,5392,2,logisticsQuestionnaire
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,click,survey_headphone2,5666,[],choice-response,Wireless Earbuds,620ec2cd3f3e26074333ad10,logistic_headphone2,8751,3,logisticsQuestionnaire
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,click,exampleresponse_s_J,5049,['Shorter'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,8897,4,Pretestexample_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,click,exampleresponse_l_F,3995,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,7700,5,Pretestexample_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,click,exampleresponse_l_F,3323,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,6786,6,Pretestexample_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,click,exampleresponse_s_J,2175,['Shorter'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,5702,7,Pretestexample_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_l_F,2146,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,long_tone_8,2967,8,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,1225,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1909,9,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_l_F,1672,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,long_tone_8,2511,10,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,680,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1357,11,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,549,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1598,12,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,952,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1895,13,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,740,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1575,14,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,575,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1260,15,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,468,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1137,16,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,478,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1310,17,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,585,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1285,18,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,865,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1683,19,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,777,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1600,20,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,709,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1402,21,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,676,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1513,22,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,797,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1469,23,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,655,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1477,24,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,1657,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,2347,25,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,775,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1588,26,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,582,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1257,27,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,578,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1257,28,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,421,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1218,29,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,542,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1240,30,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_l_F,719,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,long_tone_8,1543,31,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,657,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1468,32,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_s_J,667,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,short_tone_1,1507,33,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,487,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1308,34,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_s_J,913,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,short_tone_1,1615,35,PretestTrials_s_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,True,keypress,pretestresponse_l_F,452,['Longer'],choice-response,Longer,620ec2cd3f3e26074333ad10,long_tone_8,1306,36,PretestTrials_l_rv
pass,620ddeee49655b42f1242551,Group_JF,0,04cbb73480e16b0dd1318b3b32c0dbaefc83017771f404bf2042f67b6fa133cc,2001.7292289733887,False,keypress,pretestresponse_s_J,537,['Longer'],choice-response,Shorter,620ec2cd3f3e26074333ad10,short_tone_1,1225,37,PretestTrials_s_rv
