type,content,alignment,size,name,visible,delay
text,Please enter your age in years.,center,36px,Age,,
text,"Are there any other languages that you speak or understand? Please describe them briefly here. 

 Example: <i>understand Spanish from high school classes, speak a little Hindi with grandmother</i>",center,36px,AnyOtherLang,,
audio,speech_Back.wav,,,Back,false,0.3
audio,speech_Bag.wav,,,Bag,false,0.3
audio,speech_Bead.wav,,,Bead,false,0.3
audio,speech_Beat.wav,,,Beat,false,0.3
text,Good job! Take a break.,center,36px,Break,,
audio,speech_Cab.wav,,,Cab,false,0.3
audio,speech_Cap.wav,,,Cap,false,0.3
text,"What language are you most comfortable with using? Who did you learn it from, and starting at what age? (Please be specific, for example, say Mandarin rather than Chinese; American English rather than English.) 

 Example: <i>American English, parents, starting at birth</i>",center,36px,DomLang,,
text,Please answer these questions for the language you are most comfortable with.,center,36px,DomLangQs,,
text,"<p> Before we start the main experiment, let's do a quick test. In each trial, you will hear a word “Add” or “At”. Press the corresponding key to indicate whether it is ""At"" or ""Add"". If you are not sure, make your best guess. <br /><br />Let's listen to some examples!</p> ",center,,EXP9a_DiscriminationI,,
text,"<p>Excellent! Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a word. For this task, only pay attention to the word. Your job is to respond whether the word is “Add” or “At”. Press the corresponding key to indicate which word you heard. If you are not sure, please make the best guess as you can <br /><br />Let's listen to some examples!</p>",center,,EXP9a_MainI,,
text,"<p>This is the last section of the experiment!! <br /><br /> In each trial, you will hear a word. Press the corresponding key to indicate which word you heard. If you are not sure, make your best guess. </p> ",center,,EXP9a_PrescreenI,,
text,"<p>Excellent! Now please read the instruction carefully for the following task. In each trial, you will hear a series of short tones followed by a longer tone. For this task, only pay attention to the last tone. Your job is to respond whether the last tone feels shorter or longer. Press the corresponding key to indicate whether it is SHORTER or LONGER. If you are not sure, please make your best guess. <br /><br />Let's listen to some examples!</p>",center,,EXP9b_MainI,,
text,"<p>This is the last section of the experiment!! <br /><br /> In each trial, you will hear a tone. Press the corresponding key to indicate whether it is SHORTER or LONGER. If you are not sure, make your best guess. </p> ",center,,EXP9b_PrescreenI,,
audio,speech_Fad.wav,,,Fad,false,0.3
audio,speech_Fat.wav,,,Fat,false,0.3
text,Please select your gender,center,36px,Gender,,
text,Congradulations! You've completed the main task. We just have a few important questions to ask you before you go...,center,,Instruction_Q,,
text,"<p> Below are my final reminders. <br /><br /> (1) Use your keyboard to respond instead of using your mouse. <br />(2) DON'T THINK. Follow your first intuition to make response ASAP. You cannot get it correct by thinking. <br />(3) The total time will depend on your response time, so try to respond as correct and fast as possible. <br />(4) This task is HARD, and thus requires your undivided attention, so please put away your phone or other distractors whlie doing this experiment. <br /><br /> That's all I have for you. Please try your best! Good luck.</ p>",center,,Instruction_main,,
audio,speech_Lab.wav,,,Lab,false,0.3
audio,speech_Lack.wav,,,Lack,false,0.3
audio,speech_Lag.wav,,,Lag,false,0.3
text,"<p>Welcome! <br /> <br /> <br /> In this study, you will listen to a series of sounds and press keys to enter a response. It will take less than 60 mins to finish this experiment. <br /> Please use earphones, earbuds or headphones while completing the task. Please adjust your volume to a comfortable sound level. <br />You will begin with a questionnaire asking about your listening devices and how noisy your current environment is.</p>",center,,LandingWelcome,,
