,index,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
0,565,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_cabcap,1796,[],choice-response,Cab,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Cab,3278,566,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,0,8
1,566,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_bagback,1502,[],choice-response,Back,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Back,2277,567,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,1,1
2,567,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_fadfat,985,[],choice-response,Fat,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Fat,1943,568,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,1,1
3,568,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_fadfat,1189,[],choice-response,Fad,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Fad,2338,569,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,0,8
4,569,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_laglack,1618,[],choice-response,Lag,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Lag,2608,570,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,0,8
5,570,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_beadbeat,1084,[],choice-response,Beat,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Beat,1882,571,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,1,1
6,571,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_laglack,3109,[],choice-response,Lack,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Lack,3880,572,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,1,1
7,572,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_bagback,1471,[],choice-response,Bag,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Bag,2399,573,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,0,8
8,573,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_lablap,1410,[],choice-response,Lap,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Lap,2197,574,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,1,1
9,574,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_lablap,1237,[],choice-response,Lab,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Lab,2243,575,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,0,8
10,575,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_beadbeat,1261,[],choice-response,Bead,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Bead,2281,576,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,0,8
11,576,67ca029ac8e84b59170a9911,EXP9a_FJ,0,02acd5c37215737d7ca12e7d4bcb473129b033ad1ff0ab84f4ec6af9cf726fa2,2434.818817,False,keypress,prescreenRsp_cabcap,1076,[],choice-response,Cap,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,Cap,1853,577,EXP9a_PrescreenTrials,PrescreenTrials,02acd,EXP9a,1,1,1
