type,choices,name,required,multi_select,wrap,feedback,key_mapping,instruction,target,layout
choice,"[1,2,3,4,5]",survey_noise,,,,,,,,
text,,TxRsp,true,,,,,,,
choice,"[""I think I speak it with a foreign accent"",""I DON'T think I speak it with a foreign accent"",""I think I have lost fluency in this language"",""I DON'T think I have lost fluency in this language""]",LangResponses,,true,true,false,,,,
choice,"[""Lab"",""Lap""]",testRsp_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Female"",""Male"",""Other""]",basicRsp,,,,,,,,
choice,"[""Lap"",""Lab""]",testRsp,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Cap"",""Cab""]",prescreenRsp_cabcap,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Lack"",""Lag""]",prescreenRsp_laglack,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Beat"",""Bead""]",prescreenRsp_beadbeat,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Back"",""Bag""]",prescreenRsp_bagback,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Fat"",""Fad""]",prescreenRsp_fadfat,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Lap"",""Lab""]",exampleRsp,,,,,"[""F"",""J""]",Which word did you hear?,,
choice,"[""Lab"",""Lap""]",exampleRsp_rv,,,,,"[""F"",""J""]",Which word did you hear?,,
choice,"[""Dog barking"",""Cat meowing""]",cat_catchRsp,,,,,"[""F"",""J""]",The sound you heard was:,"[""Cat meowing""]",
choice,"[""Bird singing"",""Frog croaking""]",bird_catchRsp,,,,,"[""F"",""J""]",The sound you heard was:,"[""Bird singing""]",
choice,"[""Lap"",""Lab""]",prescreenRsp_lablap,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Cab"",""Cap""]",prescreenRsp_cabcap_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Bead"",""Beat""]",prescreenRsp_beadbeat_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Lag"",""Lack""]",prescreenRsp_laglack_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Fad"",""Fat""]",prescreenRsp_fadfat_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Bag"",""Back""]",prescreenRsp_bagback_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Lab"",""Lap""]",prescreenRsp_lablap_rv,,,,,"[""F"",""J""]",The word spoken was:,,
choice,"[""Yes"",""No""]",survey_headphone1,,,,,,,,
choice,"[""Wired Headphones"",""Wired Earbuds"",""Wireless Headphones"",""Wireless Earbuds"",""Built in Laptop/Desktop Speaker (Please use headphones if possible!)"",""External Ambient Speaker (Please use headphones if possible!)"",""Mobile Phone Speaker (Please complete on computer and use headphones if possible)"",""Other""]",survey_headphone2,,,,,,,,"[4,2]"
