expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,click,survey_noise,6726,[],choice-response,1,618f9adba4bd53a30fa816db,logistics_noise,9277,1,logisticsQuestionnaire
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,click,survey_headphone1,66647,[],choice-response,Yes,618f9adba4bd53a30fa816db,logistic_headphone1,67550,2,logisticsQuestionnaire
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,click,survey_headphone2,3253,[],choice-response,Wired Headphones,618f9adba4bd53a30fa816db,logistic_headphone2,10316,3,logisticsQuestionnaire
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_beadbeat,3306,[],choice-response,Bead,618f9adba4bd53a30fa816db,Bead,4868,4,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_bagback,1767,[],choice-response,Bag,618f9adba4bd53a30fa816db,Bag,2906,5,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_laglack,1828,[],choice-response,Lack,618f9adba4bd53a30fa816db,Lack,2838,6,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_fadfat,1217,[],choice-response,Fat,618f9adba4bd53a30fa816db,Fat,2389,7,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_beadbeat,1723,[],choice-response,Beat,618f9adba4bd53a30fa816db,Beat,2763,8,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_lablap,1598,[],choice-response,Lab,618f9adba4bd53a30fa816db,Lap,2559,9,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_lablap,1531,[],choice-response,Lab,618f9adba4bd53a30fa816db,Lab,2723,10,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_fadfat,1330,[],choice-response,Fad,618f9adba4bd53a30fa816db,Fad,2728,11,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_cabcap,1291,[],choice-response,Cab,618f9adba4bd53a30fa816db,Cab,2452,12,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_bagback,2135,[],choice-response,Bag,618f9adba4bd53a30fa816db,Back,3221,13,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_laglack,1100,[],choice-response,Lag,618f9adba4bd53a30fa816db,Lag,2299,14,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_cabcap,768,[],choice-response,Cap,618f9adba4bd53a30fa816db,Cap,1765,15,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_fadfat,970,[],choice-response,Fad,618f9adba4bd53a30fa816db,Fad,2012,16,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_lablap,831,[],choice-response,Lap,618f9adba4bd53a30fa816db,Lap,1789,17,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_bagback,1148,[],choice-response,Bag,618f9adba4bd53a30fa816db,Back,2099,18,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_fadfat,1872,[],choice-response,Fat,618f9adba4bd53a30fa816db,Fat,3003,19,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,52a990b3122680c5997bd313b7d6c0868bc4bd61a8a5bd9b06d3983cdcabd842,2825.66326212883,False,keypress,prescreenRsp_beadbeat,929,[],choice-response,Beat,618f9adba4bd53a30fa816db,Beat,1904,20,PrescreenTrials
