"","x"
"1",3.18720433521115
"2",3.3127558880306
"3",3.46354533256608
"4",3.27450846080886
"5",3.62114211357575
"6",2.78096279844743
"7",4.69165268526994
"8",3.4665252355223
"9",2.46142913966558
"10",3.42369212369231
"11",3.81109519103536
"12",3.14952965943493
"13",2.74212358470978
"14",3.77736449015687
"15",3.12066169848705
"16",2.97275356331554
"17",4.00107253044514
"18",3.50175713428895
"19",3.74794391226319
"20",4.09357470025478
"21",3.04489575649021
"22",2.95076381294422
"23",3.15384262779869
"24",3.81791168148313
"25",3.20179632362843
"26",3.60276946443223
"27",2.86675676240644
"28",3.1833833894941
"29",3.54232321481787
"30",3.69520492706048
"31",3.08092350329505
"32",3.65953559133897
"33",2.85519160477743
"34",3.99461910844598
"35",3.52295894612148
"36",2.46139930512358
"37",4.06300623733915
"38",3.15384262779869
"39",3.174798878309
"40",2.8607475532958
"41",2.97275617397303
"42",3.11492553673648
"43",3.1180667926015
"44",3.57456601022969
"45",3.52841790937663
"46",3.80461936609878
"47",4.58845997153471
"48",3.00000602495917
"49",2.64082031198164
"50",3.28668354335865
"51",3.83822181358622
"52",3.2173116410701
"53",3.85652977357405
"54",3.4026689048692
"55",3.80533186042571
"56",4.19940247802381
"57",3.45079082807902
"58",3.34730501088178
"59",3.75185265931779
"60",3.13161766710612
"61",3.52629354188968
"62",2.4060102881958
"63",3.57120170579148
"64",5.45120261225331
"65",3.3641654748114
"66",3.16508784206839
"67",2.5512287051718
"68",2.97275356331554
"69",3.09449163799498
"70",3.36442273080246
"71",3.12706419811378
"72",3.43535775922041
"73",3.70296429330999
"74",4.31237310892756
"75",2.99847211765905
"76",2.58423679657439
"77",3.01771354803539
"78",3.33950308209903
"79",3.06040189047367
"80",3.29977386468353
"81",3.06105030213642
