subj,Onset,VOT1,VOT2,VOT3,VOT4,VOT5,VOT6,AUC
s01,Early,0,0,0.166666667,1,1,1,0.527777778
s02,Early,0,0.083333333,0.416666667,0.75,1,1,0.541666667
s03,Early,0,0,0,1,1,1,0.5
s04,Early,0.166666667,0.25,0.5,0.833333333,1,1,0.625
s05,Early,0.166666667,0.166666667,0.333333333,0.75,1,1,0.569444445
s06,Early,0.083333333,0.333333333,0.583333333,1,1,1,0.666666667
s07,Early,0,0.416666667,0.416666667,0.833333333,1,1,0.611111111
s08,Early,0.166666667,0.166666667,0.25,0.916666667,1,1,0.583333334
s09,Early,0.166666667,0.333333333,0.75,0.916666667,0.916666667,0.916666667,0.666666667
s10,Early,0.333333333,0.25,0.5,0.833333333,1,1,0.652777778
s11,Early,0.083333333,0.083333333,0.166666667,0.666666667,1,1,0.5
s12,Early,0.083333333,0,0.166666667,1,0.916666667,1,0.527777778
s13,Early,0.166666667,0.166666667,0.75,0.916666667,0.916666667,1,0.652777778
s14,Early,0.25,0,0.083333333,0.916666667,1,1,0.541666667
s15,Early,0.166666667,0.083333333,0.5,0.833333333,0.916666667,1,0.583333333
s16,Early,0.083333333,0.083333333,0.583333333,1,1,1,0.625
s17,Early,0.583333333,0.416666667,0.5,0.75,1,1,0.708333333
s18,Early,0.083333333,0.083333333,0.333333333,0.666666667,0.833333333,0.916666667,0.486111111
s19,Early,0,0,0,0.75,0.916666667,1,0.444444445
s20,Early,0,0,0,0.25,1,0.916666667,0.361111111
s21,Early,0,0,0.416666667,1,1,1,0.569444445
s22,Early,0,0,0.583333333,1,1,1,0.597222222
s23,Early,0,0.083333333,0.25,1,1,1,0.555555556
s24,Early,0.416666667,0.25,0.5,0.666666667,1,0.916666667,0.625
s25,Early,0,0,0.333333333,0.916666667,1,1,0.541666667
s26,Early,0.166666667,0,0.25,0.75,1,1,0.527777778
s27,Early,0.166666667,0.25,0.666666667,0.833333333,1,1,0.652777778
s01,Ontime,0,0.166666667,0.25,1,1,1,0.569444445
s02,Ontime,0,0,0.333333333,0.666666667,1,1,0.5
s03,Ontime,0,0,0,0.916666667,1,1,0.486111111
s04,Ontime,0.166666667,0.25,0.5,1,1,1,0.652777778
s05,Ontime,0.166666667,0.25,0.25,0.833333333,1,1,0.583333333
s06,Ontime,0.416666667,0.25,0.833333333,0.916666667,1,1,0.736111111
s07,Ontime,0.333333333,0.25,0.416666667,0.666666667,0.916666667,1,0.597222222
s08,Ontime,0,0.333333333,0.333333333,0.833333333,1,1,0.583333333
s09,Ontime,0.166666667,0.5,0.666666667,0.916666667,1,1,0.708333334
s10,Ontime,0.666666667,0.666666667,0.583333333,0.75,1,0.916666667,0.763888889
s11,Ontime,0,0.083333333,0.25,1,1,1,0.555555556
s12,Ontime,0.166666667,0.166666667,0.25,1,1,0.916666667,0.583333334
s13,Ontime,0.166666667,0.25,0.666666667,1,0.916666667,1,0.666666667
s14,Ontime,0.166666667,0.083333333,0.583333333,0.916666667,1,1,0.625
s15,Ontime,0.25,0.25,0.416666667,0.833333333,0.916666667,0.75,0.569444445
s16,Ontime,0.083333333,0.25,0.416666667,1,1,1,0.625
s17,Ontime,0.416666667,0.666666667,0.5,1,1,1,0.763888889
s18,Ontime,0,0,0.083333333,0.75,0.833333333,0.916666667,0.430555556
s19,Ontime,0,0,0,0.666666667,0.916666667,1,0.430555556
s20,Ontime,0,0,0,0.083333333,0.75,0.916666667,0.291666667
s21,Ontime,0,0,0.5,1,1,1,0.583333333
s22,Ontime,0,0.166666667,0.666666667,1,0.916666667,1,0.625
s23,Ontime,0,0,0.25,0.916666667,1,1,0.527777778
s24,Ontime,0.333333333,0.583333333,0.25,0.833333333,0.833333333,1,0.638888889
s25,Ontime,0.083333333,0.083333333,0.416666667,0.833333333,0.916666667,1,0.555555556
s26,Ontime,0,0,0.166666667,0.583333333,0.916666667,1,0.444444445
s27,Ontime,0.25,0.333333333,0.416666667,0.916666667,1,1,0.652777778
s01,Late,0.166666667,0.25,0.083333333,0.916666667,1,1,0.569444445
s02,Late,0.166666667,0.166666667,0.25,0.5,0.916666667,1,0.5
s03,Late,0.083333333,0,0,1,0.916666667,0.916666667,0.486111111
s04,Late,0.25,0.25,0.416666667,0.916666667,1,1,0.638888889
s05,Late,0.166666667,0,0.25,0.666666667,1,1,0.513888889
s06,Late,0.166666667,0.416666667,0.5,1,1,1,0.680555556
s07,Late,0.25,0.083333333,0.416666667,0.75,1,1,0.583333333
s08,Late,0.083333333,0.333333333,0.75,0.916666667,0.916666667,1,0.666666667
s09,Late,0.583333333,0.5,0.5,1,1,1,0.763888889
s10,Late,0.583333333,0.416666667,0.833333333,0.583333333,1,1,0.736111111
s11,Late,0.083333333,0.083333333,0.25,0.916666667,1,1,0.555555556
s12,Late,0.25,0.083333333,0.333333333,1,1,1,0.611111111
s13,Late,0.25,0.333333333,0.833333333,0.916666667,1,1,0.722222222
s14,Late,0.083333333,0.083333333,0.583333333,1,1,1,0.625
s15,Late,0.333333333,0.166666667,0.416666667,0.916666667,0.916666667,0.833333333,0.597222222
s16,Late,0.166666667,0.166666667,0.416666667,0.833333333,1,1,0.597222222
s17,Late,0.416666667,0.416666667,0.666666667,0.916666667,1,1,0.736111111
s18,Late,0,0.083333333,0,0.833333333,0.75,0.666666667,0.388888889
s19,Late,0,0,0,0.833333333,0.916666667,1,0.458333333
s20,Late,0,0,0,0.333333333,0.833333333,1,0.361111111
s21,Late,0,0,0.5,0.916666667,1,1,0.569444445
s22,Late,0,0.25,0.666666667,1,1,1,0.652777778
s23,Late,0,0.083333333,0.5,1,1,1,0.597222222
s24,Late,0.416666667,0.25,0.583333333,0.833333333,1,1,0.680555556
s25,Late,0.083333333,0,0.333333333,1,0.833333333,1,0.541666667
s26,Late,0,0.166666667,0.333333333,0.833333333,1,0.916666667,0.541666667
s27,Late,0.416666667,0.416666667,0.666666667,0.916666667,0.916666667,1,0.722222223
