subj,Onset,Upperbound
s01,Early,1.000712118
s02,Early,1.080016041
s03,Early,1.000602977
s04,Early,1.046670281
s05,Early,1.035418174
s06,Early,1.074814511
s07,Early,2.098569709
s08,Early,1.00173684
s09,Early,0.930347623
s10,Early,1.020431921
s11,Early,1.026326028
s12,Early,0.972442488
s13,Early,0.94807376
s14,Early,0.999764607
s15,Early,0.969371063
s16,Early,1.000761463
s17,Early,1.001591921
s18,Early,0.947933339
s19,Early,0.960793862
s20,Early,0.957890356
s21,Early,1.00069651
s22,Early,1.000662383
s23,Early,1.0007502
s24,Early,0.993464842
s25,Early,1.00461181
s26,Early,1.024902836
s27,Early,1.021465527
s01,Ontime,1.001009112
s02,Ontime,1.091350575
s03,Ontime,1.000108539
s04,Ontime,1.001298382
s05,Ontime,1.00441138
s06,Ontime,0.972222305
s07,Ontime,1.056633508
s08,Ontime,1.249469058
s09,Ontime,1.172551253
s10,Ontime,0.958318292
s11,Ontime,1.0007502
s12,Ontime,0.972333165
s13,Ontime,0.981166796
s14,Ontime,0.989504087
s15,Ontime,0.83375585
s16,Ontime,1.00108001
s17,Ontime,1.000642228
s18,Ontime,0.880891887
s19,Ontime,0.966377813
s20,Ontime,0.926770839
s21,Ontime,1.000670356
s22,Ontime,0.995166917
s23,Ontime,1.003423986
s24,Ontime,0.916570379
s25,Ontime,0.984813541
s26,Ontime,1.057739044
s27,Ontime,1.003821366
s01,Late,1.000011158
s02,Late,1.040633809
s03,Late,0.944428968
s04,Late,1.004217502
s05,Late,1.046641681
s06,Late,1.001576769
s07,Late,1.038167203
s08,Late,0.981673909
s09,Late,1.000584932
s10,Late,1.391559498
s11,Late,1.002615217
s12,Late,1.000547387
s13,Late,0.983785332
s14,Late,1.000761463
s15,Late,0.888997293
s16,Late,1.022010742
s17,Late,1.008562845
s18,Late,0.750047819
s19,Late,0.958810209
s20,Late,1.034773527
s21,Late,1.002612149
s22,Late,1.045631579
s23,Late,1.004220694
s24,Late,1.014605294
s25,Late,0.944418319
s26,Late,0.967897645
s27,Late,0.967987419
