subj,Onset,EC50
s01,Early,3.187204335
s02,Early,3.312755888
s03,Early,3.463545333
s04,Early,3.274508461
s05,Early,3.621142114
s06,Early,2.780962798
s07,Early,4.691652685
s09,Early,2.46142914
s10,Early,3.423692124
s11,Early,3.811095191
s12,Early,3.149529659
s13,Early,2.742123585
s15,Early,3.120661698
s17,Early,4.00107253
s18,Early,3.501757134
s19,Early,3.747943912
s20,Early,4.0935747
s21,Early,3.044895756
s22,Early,2.950763813
s23,Early,3.153842628
s24,Early,3.817911681
s25,Early,3.201796324
s26,Early,3.602769464
s27,Early,2.866756762
s01,Ontime,3.183383389
s02,Ontime,3.542323215
s03,Ontime,3.695204927
s04,Ontime,3.080923503
s05,Ontime,3.659535591
s06,Ontime,2.855191605
s07,Ontime,3.994619108
s09,Ontime,2.461399305
s10,Ontime,4.063006237
s11,Ontime,3.153842628
s12,Ontime,3.174798878
s13,Ontime,2.860747553
s15,Ontime,3.114925537
s17,Ontime,3.57456601
s18,Ontime,3.528417909
s19,Ontime,3.804619366
s20,Ontime,4.588459972
s21,Ontime,3.000006025
s22,Ontime,2.640820312
s23,Ontime,3.286683543
s24,Ontime,3.838221814
s25,Ontime,3.217311641
s26,Ontime,3.856529774
s27,Ontime,3.402668905
s01,Late,3.80533186
s02,Late,4.199402478
s03,Late,3.450790828
s04,Late,3.347305011
s05,Late,3.751852659
s06,Late,3.131617667
s07,Late,3.526293542
s09,Late,3.571201706
s10,Late,5.451202612
s11,Late,3.364165475
s12,Late,3.165087842
s13,Late,2.551228705
s15,Late,3.094491638
s17,Late,3.127064198
s18,Late,3.435357759
s19,Late,3.702964293
s20,Late,4.312373109
s21,Late,2.998472118
s22,Late,2.584236797
s23,Late,3.017713548
s24,Late,3.339503082
s25,Late,3.06040189
s26,Late,3.299773865
s27,Late,3.061050302
