Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.337191   914.873516   1434.593519   2922.258303   3591.949387
0.343441   952.625662   1438.930850   2942.980697   3612.717718
0.349691   994.517333   1433.566891   2944.773030   3610.384866
0.355941   1019.757363   1426.012171   2953.103793   3586.735191
0.362191   1032.165092   1421.984220   2965.721423   3563.681697
0.368441   1040.239180   1421.019226   2980.697050   3548.171746
0.374691   1040.541923   1421.199695   2992.879615   3540.740028
0.380941   1039.937660   1424.320123   2997.652952   3536.755024
0.387191   1038.566849   1430.695078   2996.740082   3533.415125
0.393441   1037.920947   1444.256453   2990.727519   3536.461783
0.399691   1034.869720   1462.380554   2985.483206   3560.892966
0.405941   1029.511919   1486.670167   2991.484050   3607.525422
0.412191   1025.139818   1498.402414   3028.017138   3624.609140
0.418441   1019.376213   1498.038936   3068.570412   3614.989569
0.424691   1009.095068   1486.798379   3072.581119   3610.919209
0.430941   993.198091   1483.322453   3060.991098   3669.035021
0.437191   973.448657   1491.367700   3081.637490   3688.365561
0.443441   954.927241   1488.639166   3106.628248   3708.165522
0.449691   945.167683   1465.079571   3102.672104   3736.083439
0.455941   961.575236   1443.743697   3111.417766   3726.325660
0.462191   989.863183   1439.912073   3115.929915   3717.275158
