,index,branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
0,3,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,3084,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Back,4068,4,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
1,4,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,2154,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fad,3560,5,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
2,5,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,1661,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bead,2901,6,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
3,6,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,4031,[],choice-response,Lack,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lack,4958,7,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
4,7,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,6218,[],choice-response,Cab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cab,7353,8,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
5,8,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,1708,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lag,2866,9,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
6,9,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,1274,[],choice-response,Bag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bag,2396,10,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
7,10,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1190,[],choice-response,Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lap,2123,11,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
8,11,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1191,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fat,2307,12,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
9,12,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,935,[],choice-response,Cap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cap,1857,13,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
10,13,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,2099,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lab,3305,14,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
11,14,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,2131,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Beat,3108,15,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
12,15,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_beadbeat_rv,1193,[],choice-response,Bead,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Bead,2369,16,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
13,16,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_lablap_rv,1676,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lab,2865,17,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
14,17,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,3978,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fat,5096,18,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,0,0,1
15,18,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,2413,[],choice-response,Cab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cab,3573,19,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
16,19,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_fadfat_rv,1195,[],choice-response,Fad,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Fad,2509,20,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
17,20,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_bagback_rv,1285,[],choice-response,Back,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Back,2221,21,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
18,21,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_laglack_rv,2302,[],choice-response,Lag,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Lag,3456,22,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,0,8
19,22,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,prescreenRsp_cabcap_rv,1369,[],choice-response,Cap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,Cap,2324,23,PrescreenTrials_rv,PrescreenTrials,b60a3,EXP8a,1,1,1
