,branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp
0,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,4c685da32c0562c7f3203118347ebe68afd88aa9613a0cf489f21535e520580c,2422.6003191471104,False,click,tone_or_word,6773,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,6777,423,Tone_word_debrief,Tone,4c685,EXP8c
1,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,4c685da32c0562c7f3203118347ebe68afd88aa9613a0cf489f21535e520580c,2422.6003191471104,,keypress,TxRsp,39953,,text-response,"I did not hear the words lab or lap in those sounds. I did, however, feel the tones as long and short.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,39958,424,Tone_word_debrief,Tone,4c685,EXP8c
2,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,e1f714c783707d4ffe69f2b25db4fb4bb582b5c1ef8590c78a853e5b219d16a9,2277.8469169139858,False,click,tone_or_word,20225,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,20228,435,Tone_word_debrief,Tone,e1f71,EXP8c
3,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,e1f714c783707d4ffe69f2b25db4fb4bb582b5c1ef8590c78a853e5b219d16a9,2277.8469169139858,,keypress,TxRsp,39111,,text-response,"The sounds just sounded like tones to me, there was no meaning behind them in my mind.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,39114,436,Tone_word_debrief,Tone,e1f71,EXP8c
4,fail,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,37e15519097abf5252308b8b30ee8dfe6087b51322d97d38bbbb272809532f44,2400.63973402977,False,click,tone_or_word,10155,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,10159,435,Tone_word_debrief,Tone,37e15,EXP8c
5,fail,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,37e15519097abf5252308b8b30ee8dfe6087b51322d97d38bbbb272809532f44,2400.63973402977,,keypress,TxRsp,21349,,text-response,Feel the sound as being lab or lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,21353,436,Tone_word_debrief,Tone,37e15,EXP8c
6,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,8167ced290d92f11fda04d3bb0c11169a41303326ef04ea0c08c5cd3a9d8dd9a,1673.3434219360352,False,click,tone_or_word,6800,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,6803,423,Tone_word_debrief,Tone,8167c,EXP8c
7,pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,8167ced290d92f11fda04d3bb0c11169a41303326ef04ea0c08c5cd3a9d8dd9a,1673.3434219360352,,keypress,TxRsp,26588,,text-response,I honestly did not hear a single word and it sounded like tone. Maybe lab and lap were used because of their length of the words in English language,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,26597,424,Tone_word_debrief,Tone,8167c,EXP8c
8,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,cbdda6913e3c5fc5ab370f5570992ca18e574f3c15b44b215b7a86c493a07c13,2306.8749539852147,False,click,tone_or_word,14700,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,14703,435,Tone_word_debrief,Tone,cbdda,EXP8c
9,fail,6345b7f49677d36bd07c5a10,EXP8c_JF,0,cbdda6913e3c5fc5ab370f5570992ca18e574f3c15b44b215b7a86c493a07c13,2306.8749539852147,,keypress,TxRsp,17638,,text-response,"They didn't feel like anything, just sounds.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,17641,436,Tone_word_debrief,Tone,cbdda,EXP8c
10,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,3a8b4685933f50bf0b910c7f3f9debf8eae8837294f77a6cc7bc2c53910ba476,2399.9184448719025,False,click,tone_or_word,46183,[],choice-response,Musical Tones,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,46185,423,Tone_word_debrief,Tone,3a8b4,EXP8c
11,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,3a8b4685933f50bf0b910c7f3f9debf8eae8837294f77a6cc7bc2c53910ba476,2399.9184448719025,,keypress,TxRsp,48635,,text-response,"English has very harsh ""p"" sounds and I found it difficult to hear that but it did seem more like an abrupt stop which made it feel more musical than word like.",636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief4,48718,424,Tone_word_debrief,Tone,3a8b4,EXP8c
12,pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,83580f8a886e834911f97058709a23a6ae5fc38fd5de045c2211491d55303283,3363.250174999237,False,click,tone_or_word,11492,[],choice-response,Lab or Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,debrief3,11495,423,Tone_word_debrief,Tone,83580,EXP8c
