branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,click,survey_noise,2346,[],choice-response,1,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,logistics_noise,3954,1,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,click,survey_headphone1,3404,[],choice-response,No,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,logistic_headphone1,35416,2,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,click,survey_headphone2,3351,[],choice-response,Wireless Headphones,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,logistic_headphone2,8375,3,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_exampleRsp_s_J,4534,['Lap'],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,8216,4,EXP8c_Pretestexample_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,True,keypress,EXP8c_exampleRsp_l_F,1926,['Lab'],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,5665,5,EXP8c_Pretestexample_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,True,keypress,EXP8c_exampleRsp_s_J,3066,['Lap'],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,6628,6,EXP8c_Pretestexample_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,True,keypress,EXP8c_exampleRsp_l_F,2019,['Lab'],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,5767,7,EXP8c_Pretestexample_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,1042,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1954,8,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,953,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,2040,9,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,416,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1336,10,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,376,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1448,11,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,392,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1314,12,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,804,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1880,13,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,635,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1554,14,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,1387,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,2474,15,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,994,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,2059,16,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,430,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1335,17,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,313,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1394,18,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,355,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1259,19,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,316,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1386,20,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,461,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1372,21,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,512,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1414,22,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,320,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1450,23,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,845,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1765,24,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,351,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1424,25,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,393,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1309,26,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,305,[],choice-response,Lab,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,long_tone_8,1375,27,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,12e7bbe9edfe05a20e9793e4795387b34d2e08054279563b28ec37e80219e412,7999.583134889603,False,keypress,EXP8c_testRsp_rv,416,[],choice-response,Lap,6382505f1517c76bb9b79768,2022-11-26 12:43:59-05:00,short_tone_1,1325,28,EXP8c_PretestTrials_s_rv
