branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,click,survey_noise,3587,[],choice-response,1,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,logistics_noise,5308,1,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,click,survey_headphone1,270776,[],choice-response,Yes,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,logistic_headphone1,273245,2,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,click,survey_headphone2,5225,[],choice-response,Wired Headphones,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,logistic_headphone2,6444,3,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,TRUE,click,EXP8c_exampleRsp_l_F,12797,['Lab'],choice-response,Lab,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,long_tone_8,16674,4,EXP8c_Pretestexample_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,TRUE,keypress,EXP8c_exampleRsp_s_J,20696,['Lap'],choice-response,Lap,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,short_tone_1,24691,5,EXP8c_Pretestexample_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,keypress,EXP8c_exampleRsp_s_J,6729,['Lap'],choice-response,Lab,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,short_tone_1,10360,6,EXP8c_Pretestexample_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,keypress,EXP8c_exampleRsp_l_F,3674,['Lab'],choice-response,Lap,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,long_tone_8,7293,7,EXP8c_Pretestexample_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,click,EXP8c_testRsp_rv,6306,[],choice-response,Lap,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,short_tone_1,7448,8,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,click,EXP8c_testRsp_rv,2681,[],choice-response,Lap,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,long_tone_8,3728,9,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,9077ab4ac2c6a1eaf3fb98f663c10d7b81a6cc9251094a2bb883f7723f6f0b08,2366.549044,FALSE,click,EXP8c_testRsp_rv,1406,[],choice-response,Lab,63855a7052dc2c8cc811b3a4,2022-11-28 20:03:44-05:00,short_tone_1,2211,10,EXP8c_PretestTrials_s_rv
