branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,FALSE,click,survey_noise,3527,[],choice-response,2,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,logistics_noise,4848,1,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,FALSE,click,survey_headphone1,4493,[],choice-response,Yes,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,logistic_headphone1,6110,2,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,FALSE,click,survey_headphone2,2900,[],choice-response,Wired Headphones,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,logistic_headphone2,6081,3,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,TRUE,keypress,EXP8c_exampleRsp_l_F,3499,['Lab'],choice-response,Lab,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,long_tone_8,7447,4,EXP8c_Pretestexample_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,TRUE,keypress,EXP8c_exampleRsp_s_J,4523,['Lap'],choice-response,Lap,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,short_tone_1,8227,5,EXP8c_Pretestexample_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,TRUE,keypress,EXP8c_exampleRsp_l_F,694,['Lab'],choice-response,Lab,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,long_tone_8,4627,6,EXP8c_Pretestexample_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,TRUE,keypress,EXP8c_exampleRsp_s_J,618,['Lap'],choice-response,Lap,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,short_tone_1,4444,7,EXP8c_Pretestexample_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,FALSE,keypress,EXP8c_testRsp_rv,1285,[],choice-response,Lap,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,short_tone_1,2418,8,EXP8c_PretestTrials_s_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,FALSE,keypress,EXP8c_testRsp_rv,963,[],choice-response,Lab,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,long_tone_8,2205,9,EXP8c_PretestTrials_l_rv
pass,6345b7f49677d36bd07c5a10,EXP8c_JF,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2462.88123,FALSE,keypress,EXP8c_testRsp_rv,1312,[],choice-response,Lab,634873c263630e047ced3765,2022-10-13 16:23:30-04:00,long_tone_8,2543,10,EXP8c_PretestTrials_l_rv
