branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,click,survey_noise,2620,[],choice-response,1,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,logistics_noise,3859,1,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,click,survey_headphone1,998,[],choice-response,Yes,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,logistic_headphone1,2742,2,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,click,survey_headphone2,1068,[],choice-response,Wired Earbuds,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,logistic_headphone2,2032,3,logisticsQuestionnaire
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_l_J,2816,['Lab'],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,6744,4,EXP8c_Pretestexample_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_s_F,620,['Lap'],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,4345,5,EXP8c_Pretestexample_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_exampleRsp_l_J,315,['Lab'],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,5263,6,EXP8c_Pretestexample_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_s_F,610,['Lap'],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,4329,7,EXP8c_Pretestexample_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,1445,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,2715,8,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,283,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1385,9,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,339,[],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1627,10,EXP8c_PretestTrials_l
