type,content,alignment,size,name,visible,delay
text,Congratulations! You've completed the experiment. Thank you very much.,center,36px,Instruction_end,,
text,"<p>Welcome! <br /> <br /> <br />On each trial, you will hear a repeated word or tone with a ticking clock sound. Your job is to say whether the ticking clock is in time or out of time relative to the tone/word. <br /> Please use earphones, earbuds or headphones while completing the task. Please adjust your volume to a comfortable sound level. <br /> Now let's hear some clear examples of 'not in time' so you know what to listen for.</p>",center,,LandingWelcome,,
text,"<p>Good job! Ok, let's move on to the real experiment now. <br /> <br /> You won't see or hear the feedback in the following session. </p>",center,,MainI,,
audio,lab1pip0chainof10_mono.wav,,,lab1_0,false,0.3
audio,lab1pip120chainof10_mono.wav,,,lab1_120,false,0.3
audio,lab1pip150chainof10_mono.wav,,,lab1_150,false,0.3
audio,lab1pip30chainof10_mono.wav,,,lab1_30,false,0.3
audio,lab1pip60chainof10_mono.wav,,,lab1_60,false,0.3
audio,lab1pip90chainof10_mono.wav,,,lab1_90,false,0.3
audio,lab8pip0chainof10_mono.wav,,,lab8_0,false,0.3
audio,lab8pip120chainof10_mono.wav,,,lab8_120,false,0.3
audio,lab8pip150chainof10_mono.wav,,,lab8_150,false,0.3
audio,lab8pip30chainof10_mono.wav,,,lab8_30,false,0.3
audio,lab8pip60chainof10_mono.wav,,,lab8_60,false,0.3
audio,lab8pip90chainof10_mono.wav,,,lab8_90,false,0.3
audio,tone1pip0chainof10_mono.wav,,,tone1_0,false,0.3
audio,tone1pip120chainof10_mono.wav,,,tone1_120,false,0.3
audio,tone1pip150chainof10_mono.wav,,,tone1_150,false,0.3
audio,tone1pip30chainof10_mono.wav,,,tone1_30,false,0.3
audio,tone1pip60chainof10_mono.wav,,,tone1_60,false,0.3
audio,tone1pip90chainof10_mono.wav,,,tone1_90,false,0.3
audio,tone8pip0chainof10_mono.wav,,,tone8_0,false,0.3
audio,tone8pip120chainof10_mono.wav,,,tone8_120,false,0.3
audio,tone8pip150chainof10_mono.wav,,,tone8_150,false,0.3
audio,tone8pip30chainof10_mono.wav,,,tone8_30,false,0.3
audio,tone8pip60chainof10_mono.wav,,,tone8_60,false,0.3
audio,tone8pip90chainof10_mono.wav,,,tone8_90,false,0.3
audio,add1pip0chainof10_mono.wav,,,add1_0,false,0.3
audio,add1pip120chainof10_mono.wav,,,add1_120,false,0.3
audio,add1pip150chainof10_mono.wav,,,add1_150,false,0.3
audio,add1pip30chainof10_mono.wav,,,add1_30,false,0.3
audio,add1pip60chainof10_mono.wav,,,add1_60,false,0.3
audio,add1pip90chainof10_mono.wav,,,add1_90,false,0.3
audio,add8pip0chainof10_mono.wav,,,add8_0,false,0.3
audio,add8pip120chainof10_mono.wav,,,add8_120,false,0.3
audio,add8pip150chainof10_mono.wav,,,add8_150,false,0.3
audio,add8pip30chainof10_mono.wav,,,add8_30,false,0.3
audio,add8pip60chainof10_mono.wav,,,add8_60,false,0.3
audio,add8pip90chainof10_mono.wav,,,add8_90,false,0.3
