expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,click,survey_noise,3276,[],choice-response,1,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,logistics_noise,5914,1,logisticsQuestionnaire
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,click,survey_headphone1,3715,[],choice-response,No,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,logistic_headphone1,5572,2,logisticsQuestionnaire
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,click,survey_headphone2,8329,[],choice-response,Built in Laptop/Desktop Speaker (Please use headphones if possible!),655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,logistic_headphone2,9353,3,logisticsQuestionnaire
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_ExpRsp_at_rv,4884,['At'],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech1,8592,4,EXP9a_disc_example_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,True,keypress,EXP9a_ExpRsp_add_rv,2051,['Add'],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech8,6418,5,EXP9a_disc_example_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,True,keypress,EXP9a_ExpRsp_add_rv,1981,['Add'],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech8,5368,6,EXP9a_disc_example_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,True,keypress,EXP9a_ExpRsp_at_rv,1103,['At'],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech1,4351,7,EXP9a_disc_example_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,663,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech5,1726,8,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,1266,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech2,2333,9,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,673,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech6,1900,10,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,810,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech7,1890,11,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,633,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech4,1551,12,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,444,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech1,1076,13,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,437,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech3,1399,14,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,313,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech8,1071,15,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,640,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech2,1342,16,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,223,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech8,988,17,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,336,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech1,974,18,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,403,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech3,1042,19,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,244,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech7,980,20,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,230,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech6,947,21,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,240,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech4,906,22,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,364,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech5,1052,23,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,567,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech3,1210,24,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,340,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech6,1054,25,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,392,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech4,1060,26,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,874,[],choice-response,Add,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech5,1563,27,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,750,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech7,1488,28,DiscriminationTrials_rv
6345b7f49677d36bd07c5a10,EXP9a_JF,0,7d2de33f1c0e1235bff983d6b029de949199fc2bb2d69cf5074583daa421524c,2104.1458609104156,False,keypress,EXP9a_testRsp_rv,758,[],choice-response,At,655e73d1a60ad4b436a1357f,2023-11-22 16:34:02-05:00,speech1,1377,29,DiscriminationTrials_rv
