,branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Onset,Length
0,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_l_F,313,['Longer'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_ontime_delay_2_tone_Lab_5,3259,96,maintaskTrials_2_l_rv,maintaskTrials,55a47,EXP8b,1,0,ontime,5
1,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_s_J,438,['Shorter'],choice-response,Shorter,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_late_delay_2_tone_Lab_1,3483,97,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,1,1,late,1
2,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_s_J,384,['Shorter'],choice-response,Shorter,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_early_delay_2_tone_Lab_1,3270,98,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,1,1,early,1
3,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,False,keypress,testresponse_l_F,474,['Longer'],choice-response,Shorter,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_late_delay_2_tone_Lab_5,3775,99,maintaskTrials_2_l_rv,maintaskTrials,55a47,EXP8b,0,1,late,5
4,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,False,keypress,testresponse_s_J,380,['Shorter'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_late_delay_2_tone_Lab_3,3372,100,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,0,0,late,3
5,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,False,keypress,testresponse_s_J,418,['Shorter'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_ontime_delay_2_tone_Lab_3,3383,101,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,0,0,ontime,3
6,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,False,keypress,testresponse_s_J,426,['Shorter'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_early_delay_2_tone_Lab_3,3325,102,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,0,0,early,3
7,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_l_F,324,['Longer'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_early_delay_2_tone_Lab_8,3294,103,maintaskTrials_2_l_rv,maintaskTrials,55a47,EXP8b,1,0,early,8
8,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_l_F,364,['Longer'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_ontime_delay_2_tone_Lab_8,3416,104,maintaskTrials_2_l_rv,maintaskTrials,55a47,EXP8b,1,0,ontime,8
9,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_s_J,461,['Shorter'],choice-response,Shorter,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_early_delay_2_tone_Lab_2,3303,105,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,1,1,early,2
10,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_l_F,270,['Longer'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_late_delay_2_tone_Lab_8,3415,106,maintaskTrials_2_l_rv,maintaskTrials,55a47,EXP8b,1,0,late,8
11,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_l_F,752,['Longer'],choice-response,Longer,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_early_delay_2_tone_Lab_5,3662,108,maintaskTrials_2_l_rv,maintaskTrials,55a47,EXP8b,1,0,early,5
12,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_s_J,522,['Shorter'],choice-response,Shorter,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_late_delay_2_tone_Lab_4,3596,109,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,1,1,late,4
13,pass,6345b7f49677d36bd07c5a10,EXP8b_JF,0,55a471b76b185644afd46e44e041a8d4b46a3c51d688b1c26b80ff38a8918345,1660.1178760528564,True,keypress,testresponse_s_J,421,['Shorter'],choice-response,Shorter,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,single_300ms_late_delay_2_tone_Lab_2,3474,110,maintaskTrials_2_s_rv,maintaskTrials,55a47,EXP8b,1,1,late,2
